number,value,datetime_start,datetime_complete,duration,params_bagging_fraction,params_boost_from_average,params_boosting_type,params_feature_fraction,params_lambda_l1,params_lambda_l2,params_learning_rate,params_max_depth,params_min_child_samples,params_num_iterations,params_num_leaves,params_objective,state
34,0.016182896320160806,2023-12-31 22:04:18.481812,2023-12-31 22:06:18.961739,0 days 00:02:00.479927,0.4039965173297984,True,rf,0.8940147924406671,0.25240168162140614,1.0548934708358337e-07,0.018454241578093094,6,30,206,171,regression,COMPLETE
35,0.01607264025061446,2023-12-31 22:06:18.962713,2023-12-31 22:06:48.857795,0 days 00:00:29.895082,0.4632909782183281,True,rf,0.9386293048184005,6.61124324932296,2.2573173621191446e-08,0.03976425238523925,6,52,136,114,regression,COMPLETE
36,0.016134115876842513,2023-12-31 22:06:48.858672,2023-12-31 22:07:32.434681,0 days 00:00:43.576009,0.8308975231184826,True,rf,0.92892748863813,1.453421298386772,1.692688985225802e-08,0.03938556077028335,6,48,142,115,regression,COMPLETE
37,0.016157890068405997,2023-12-31 22:07:32.435816,2023-12-31 22:08:40.042197,0 days 00:01:07.606381,0.4322989161280062,True,rf,0.9655641264559388,0.10079572902956939,7.122964093714981e-07,0.05400320254309543,5,93,100,142,mape,COMPLETE
38,0.01607264025061446,2023-12-31 22:08:40.043170,2023-12-31 22:09:21.263062,0 days 00:00:41.219892,0.4776983264071843,True,rf,0.8187749052791243,9.966676770516832,1.2385563835476138e-08,0.013448814384372614,6,15,280,115,regression,COMPLETE
39,0.016076783137010064,2023-12-31 22:09:21.264079,2023-12-31 22:10:27.360874,0 days 00:01:06.096795,0.525542021084203,False,gbdt,0.7605898571481504,3.564834785470862,1.4809009698365518e-08,0.01484881522330653,6,15,399,78,regression,COMPLETE
40,0.01612215749272046,2023-12-31 22:10:27.361872,2023-12-31 22:16:20.292790,0 days 00:05:52.930918,0.4731454223536469,True,dart,0.6410198473006294,0.018055835152765553,1.0268225189947218e-08,0.025974290858361067,6,39,505,197,regression_l1,COMPLETE
41,0.01607264025061446,2023-12-31 22:16:20.294004,2023-12-31 22:17:13.815518,0 days 00:00:53.521514,0.4590079375551821,True,rf,0.8341061247232264,4.667671801510246,2.7850104858856067e-06,0.01451153770728806,5,66,284,108,regression,COMPLETE
42,0.016139173666217192,2023-12-31 22:17:13.816504,2023-12-31 22:18:36.367064,0 days 00:01:22.550560,0.42336795120431503,True,rf,0.6942423749431873,0.8525440489595506,1.6344057188783735e-07,0.013619926362784932,6,65,349,111,regression,COMPLETE
43,0.01607264025061446,2023-12-31 22:18:36.368220,2023-12-31 22:19:25.108356,0 days 00:00:48.740136,0.633804288932094,True,rf,0.8021296444388702,9.103711577358892,1.3736656607938827e-08,0.05264294680106124,6,12,190,124,regression,COMPLETE
